web 127.0.0.1 - - [03/01/2017:21:17:34 +0000] "GET / HTTP/1.1" 200 - "-" "curl/7.43.0"
b2d 127.0.0.1 - - [03/01/2017:21:20:16 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
b2d 127.0.0.1 - - [03/01/2017:21:20:48 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
b2d 127.0.0.1 - - [03/01/2017:21:20:54 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:20 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:21 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:21 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:22 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:36 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:36 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:37 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:38 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:39 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:39 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:39 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
docker 127.0.0.1 - - [03/01/2017:21:21:39 +0000] "GET / HTTP/1.1" 200 612 "-" "curl/7.43.0"
